,user,text,favorite_count,retweet_count,created_at
55,SismologicoMX,"SISMO Magnitud 3.6 Loc. 78 km al SUROESTE de COALCOMAN, MICH 07/01/23 08:23:36 Lat 18.18 Lon -103.54 Pf 5 km",25,4,2023-01-08 02:03:51+00:00
56,SismologicoMX,"SISMO Magnitud 3.9 Loc. 194 km al SUROESTE de PIJIJIAPAN, CHIS 07/01/23 08:22:01 Lat 14.27 Lon -94.27 Pf 16 km",26,6,2023-01-08 02:03:47+00:00
57,SismologicoMX,"SISMO Magnitud 3.4 Loc. 43 km al OESTE de CASIMIRO CASTILLO, JAL 07/01/23 08:14:28 Lat 19.57 Lon -104.84 Pf 4 km",29,4,2023-01-08 02:03:43+00:00
58,SismologicoMX,"SISMO Magnitud 3.8 Loc. 38 km al NOROESTE de VICENTE GUERRERO, BC 07/01/23 07:52:49 Lat 30.89 Lon -116.34 Pf 10 km",24,5,2023-01-08 02:03:39+00:00
59,SismologicoMX,"SISMO Magnitud 3.9 Loc. 40 km al SUR de PINOTEPA NACIONAL, OAX 07/01/23 07:19:44 Lat 15.99 Lon -97.98 Pf 5 km",24,5,2023-01-08 02:03:36+00:00
60,SismologicoMX,"SISMO Magnitud 3.8 Loc. 38 km al NOROESTE de VICENTE GUERRERO, BC 07/01/23 07:18:25 Lat 30.88 Lon -116.35 Pf 4 km",18,5,2023-01-08 02:03:32+00:00
61,SismologicoMX,"SISMO Magnitud 3.5 Loc. 22 km al NOROESTE de VICENTE GUERRERO, BC 07/01/23 06:50:28 Lat 30.89 Lon -116.13 Pf 5 km",22,5,2023-01-08 02:03:28+00:00
62,SismologicoMX,"SISMO Magnitud 3.8 Loc. 30 km al NORTE de ZIHUATANEJO, GRO 07/01/23 06:58:37 Lat 17.91 Lon -101.59 Pf 25 km",63,8,2023-01-08 02:03:24+00:00
63,SismologicoMX,"SISMO Magnitud 3.3 Loc. 34 km al SURESTE de COALCOMAN, MICH 07/01/23 06:51:55 Lat 18.54 Lon -102.96 Pf 25 km",25,5,2023-01-08 02:03:21+00:00
64,SismologicoMX,"SISMO Magnitud 3.8 Loc. 8 km al SUROESTE de SAN MARCOS, GRO 07/01/23 06:23:01 Lat 16.75 Lon -99.45 Pf 4 km",31,7,2023-01-08 02:03:17+00:00
65,SismologicoMX,"SISMO Magnitud 3.6 Loc. 45 km al SUROESTE de CHIAUTLA DE TAPIA, PUE 07/01/23 05:48:59 Lat 17.93 Lon -98.79 Pf 54 km",33,6,2023-01-08 02:03:13+00:00
66,SismologicoMX,"SISMO Magnitud 3.6 Loc. 68 km al SUR de JALTIPAN DEMORELOS, VER 07/01/23 05:44:00 Lat 17.36 Lon -94.62 Pf 137 km",24,4,2023-01-08 02:03:09+00:00
67,SismologicoMX,"SISMO Magnitud 3.6 Loc. 20 km al NOROESTE de VICENTE GUERRERO, BC 07/01/23 05:39:02 Lat 30.88 Lon -116.10 Pf 4 km",19,4,2023-01-08 02:03:05+00:00
68,SismologicoMX,"SISMO Magnitud 3.9 Loc. 137 km al SUROESTE de TONALA, CHIS 07/01/23 05:38:17 Lat 15.01 Lon -94.39 Pf 15 km",23,5,2023-01-08 02:03:02+00:00
69,SismologicoMX,A las 08:00 p.m. inicia el envío del reporte vespertino de sismicidad que incluye los sismos de magnitud menor a 4.0 actualizado hasta las 05:00 p.m.,73,6,2023-01-08 01:32:37+00:00
70,SismologicoMX,"SISMO Magnitud 4.0 Loc  43 km al SUR de PINOTEPA NACIONAL, OAX 07/01/23 13:19:36 Lat 15.97 Lon -97.96 Pf 10 km https://t.co/NeLzW0ysn1",140,22,2023-01-07 19:40:05+00:00
71,SismologicoMX,"SISMO Magnitud 4.0 Loc. 43 km al SUR de PINOTEPA NACIONAL, OAX 07/01/23 13:19:36 Lat 15.97 Lon -97.96 Pf 10 km",76,6,2023-01-07 19:40:02+00:00
72,SismologicoMX,"SISMO Magnitud 4.2 Loc  84 km al NORTE de SANTA ROSALIA, BCS 07/01/23 08:49:36 Lat 28.09 Lon -112.35 Pf 10 km https://t.co/qbz5bFrtRg",85,16,2023-01-07 15:21:05+00:00
73,SismologicoMX,"SISMO Magnitud 4.2 Loc. 84 km al NORTE de SANTA ROSALIA, BCS 07/01/23 08:49:36 Lat 28.09 Lon -112.35 Pf 10 km",100,2,2023-01-07 15:21:02+00:00
