,created_at,user,text,favorite_count,retweet_count
73,2023-01-09 02:02:29+00:00,SismologicoMX,"SISMO Magnitud 3.9 Loc. 18 km al SUROESTE de CRUCECITA, OAX 08/01/23 06:29:40 Lat 15.66 Lon -96.25 Pf 32 km",20,1
74,2023-01-09 02:02:25+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 78 km al SUR de COALCOMAN, MICH 08/01/23 06:07:10 Lat 18.08 Lon -103.24 Pf 8 km",21,1
75,2023-01-09 02:02:22+00:00,SismologicoMX,"SISMO Magnitud 3.8 Loc. 83 km al SUR de SALINA CRUZ, OAX 08/01/23 06:00:09 Lat 15.45 Lon -95.01 Pf 16 km",25,0
76,2023-01-09 02:02:18+00:00,SismologicoMX,"SISMO Magnitud 3.8 Loc. 48 km al NORESTE de MATIAS ROMERO, OAX 08/01/23 05:44:13 Lat 17.28 Lon -94.89 Pf 129 km",25,0
77,2023-01-09 02:02:14+00:00,SismologicoMX,"SISMO Magnitud 3.4 Loc. 17 km al NOROESTE de VICENTE GUERRERO, BC 08/01/23 05:32:43 Lat 30.84 Lon -116.10 Pf 2 km",23,0
78,2023-01-09 02:02:09+00:00,SismologicoMX,"SISMO Magnitud 4.0 Loc  193 km al SUROESTE de PIJIJIAPAN, CHIS 08/01/23 05:13:13 Lat 14.21 Lon -94.17 Pf 10 km https://t.co/kXXPhR5TZo",30,4
79,2023-01-09 02:02:06+00:00,SismologicoMX,"SISMO Magnitud 4.0 Loc. 193 km al SUROESTE de PIJIJIAPAN, CHIS 08/01/23 05:13:13 Lat 14.21 Lon -94.17 Pf 10 km",21,1
80,2023-01-09 02:02:02+00:00,SismologicoMX,"SISMO Magnitud 3.9 Loc. 190 km al SUROESTE de PIJIJIAPAN, CHIS 08/01/23 05:05:09 Lat 14.45 Lon -94.43 Pf 10 km",30,2
81,2023-01-09 01:48:35+00:00,SismologicoMX,A las 08:00 p.m. inicia el envío del reporte vespertino de sismicidad que incluye los sismos de magnitud menor a 4.0 actualizado hasta las 05:00 p.m.,77,6
82,2023-01-08 14:09:19+00:00,SismologicoMX,"SISMO Magnitud 3.9 Loc. 110 km al SUROESTE de TONALA, CHIS 07/01/23 23:22:48 Lat 15.28 Lon -94.36 Pf 16 km",87,4
83,2023-01-08 14:09:15+00:00,SismologicoMX,"SISMO Magnitud 3.7 Loc. 26 km al NOROESTE de PINOTEPA NACIONAL, OAX 07/01/23 22:58:14 Lat 16.49 Lon -98.24 Pf 30 km",42,5
84,2023-01-08 14:09:11+00:00,SismologicoMX,"SISMO Magnitud 2.8 Loc. 45 km al OESTE de MIAHUATLAN, OAX 07/01/23 22:36:51 Lat 16.38 Lon -97.01 Pf 10 km",38,6
85,2023-01-08 14:08:45+00:00,SismologicoMX,"SISMO Magnitud 3.4 Loc. 129 km al SUROESTE de TECPAN, GRO 07/01/23 22:31:22 Lat 16.19 Lon -101.18 Pf 10 km",46,3
86,2023-01-08 14:08:25+00:00,SismologicoMX,"SISMO Magnitud 3.7 Loc. 31 km al OESTE de LAZARO CARDENAS, BC 08/01/23 04:38:57 Lat 30.55 Lon -116.25 Pf 10 km",65,2
87,2023-01-08 14:08:11+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 142 km al SUROESTE de TONALA, CHIS 08/01/23 04:19:37 Lat 14.93 Lon -94.33 Pf 16 km",34,0
88,2023-01-08 14:08:03+00:00,SismologicoMX,"SISMO Magnitud 2.9 Loc. 50 km al SUR de PINOTEPA NACIONAL, OAX 07/01/23 22:40:25 Lat 15.89 Lon -98.08 Pf 16 km",21,1
89,2023-01-08 14:08:00+00:00,SismologicoMX,"SISMO Magnitud 3.8 Loc. 12 km al SURESTE de MATIAS ROMERO, OAX 08/01/23 03:19:54 Lat 16.77 Lon -95.00 Pf 103 km",28,2
90,2023-01-08 14:07:49+00:00,SismologicoMX,"SISMO Magnitud 3.7 Loc. 28 km al SUROESTE de COALCOMAN, MICH 08/01/23 02:11:09 Lat 18.54 Lon -103.26 Pf 32 km",23,0
91,2023-01-08 14:07:36+00:00,SismologicoMX,"SISMO Magnitud 3.6 Loc. 16 km al SURESTE de PINOTEPA NACIONAL, OAX 08/01/23 01:51:33 Lat 16.28 Lon -97.92 Pf 10 km",45,4
92,2023-01-08 14:07:29+00:00,SismologicoMX,"SISMO Magnitud 3.6 Loc. 90 km al SUROESTE de MAPASTEPEC, CHIS 08/01/23 01:30:26 Lat 14.69 Lon -93.21 Pf 16 km",19,0
93,2023-01-08 14:07:22+00:00,SismologicoMX,"SISMO Magnitud 3.3 Loc. 49 km al NOROESTE de CINTALAPA, CHIS 08/01/23 00:45:57 Lat 16.92 Lon -94.12 Pf 137 km",23,0
94,2023-01-08 14:07:15+00:00,SismologicoMX,"SISMO Magnitud 2.1 Loc. 70 km al SUROESTE de COALCOMAN, MICH 08/01/23 00:28:18 Lat 18.21 Lon -103.44 Pf 20 km",22,0
95,2023-01-08 14:07:08+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 38 km al SURESTE de TONALA, CHIS 08/01/23 00:26:14 Lat 15.82 Lon -93.54 Pf 91 km",25,0
96,2023-01-08 14:07:03+00:00,SismologicoMX,"SISMO Magnitud 3.2 Loc. 64 km al SUR de JALTIPAN DEMORELOS, VER 08/01/23 00:18:01 Lat 17.40 Lon -94.60 Pf 147 km",23,2
97,2023-01-08 14:06:57+00:00,SismologicoMX,"SISMO Magnitud 3.6 Loc. 39 km al SUR de J RODRIGUEZ CLARA, VER 07/01/23 21:20:40 Lat 17.64 Lon -95.38 Pf 104 km",19,2
98,2023-01-08 14:06:52+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 30 km al SUROESTE de OMETEPEC, GRO 07/01/23 22:17:42 Lat 16.45 Lon -98.55 Pf 2 km",23,1
99,2023-01-08 14:06:47+00:00,SismologicoMX,"SISMO Magnitud 3.9 Loc. 18 km al OESTE de RIO GRANDE, OAX 07/01/23 21:48:13 Lat 16.00 Lon -97.60 Pf 12 km",22,0
100,2023-01-08 14:06:43+00:00,SismologicoMX,"SISMO Magnitud 3.3 Loc. 55 km al NORESTE de PETATLAN, GRO 07/01/23 21:25:29 Lat 17.97 Lon -101.01 Pf 59 km",15,1
101,2023-01-08 14:06:39+00:00,SismologicoMX,"SISMO Magnitud 3.8 Loc. 189 km al SUROESTE de MAPASTEPEC, CHIS 07/01/23 21:23:04 Lat 14.22 Lon -94.12 Pf 15 km",24,0
102,2023-01-08 14:06:35+00:00,SismologicoMX,"SISMO Magnitud 3.4 Loc. 59 km al SUR de JALTIPAN DEMORELOS, VER 07/01/23 21:19:23 Lat 17.44 Lon -94.62 Pf 135 km",21,1
103,2023-01-08 14:06:31+00:00,SismologicoMX,"SISMO Magnitud 3.4 Loc. 49 km al NOROESTE de LA MIRA, MICH 07/01/23 20:54:47 Lat 18.29 Lon -102.72 Pf 16 km",30,2
104,2023-01-08 14:06:27+00:00,SismologicoMX,"SISMO Magnitud 3.4 Loc. 27 km al NORTE de GPE VICTORIA(KM.43), BC 07/01/23 20:52:49 Lat 32.53 Lon -115.16 Pf 18 km",15,0
105,2023-01-08 14:06:23+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 17 km al OESTE de LAZARO CARDENAS, BC 07/01/23 20:23:11 Lat 30.50 Lon -116.10 Pf 42 km",19,0
106,2023-01-08 14:06:19+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 21 km al NOROESTE de VICENTE GUERRERO, BC 07/01/23 19:46:44 Lat 30.85 Lon -116.15 Pf 9 km",32,2
107,2023-01-08 14:06:14+00:00,SismologicoMX,"SISMO Magnitud 3.3 Loc. 20 km al SUROESTE de PINOTEPA NACIONAL, OAX 07/01/23 19:31:33 Lat 16.21 Lon -98.19 Pf 11 km",18,1
108,2023-01-08 14:06:10+00:00,SismologicoMX,"SISMO Magnitud 2.8 Loc. 16 km al SURESTE de TECPAN, GRO 07/01/23 19:07:50 Lat 17.09 Lon -100.57 Pf 10 km",17,1
109,2023-01-08 14:06:06+00:00,SismologicoMX,"SISMO Magnitud 3.4 Loc. 34 km al SUR de COALCOMAN, MICH 07/01/23 18:43:00 Lat 18.48 Lon -103.24 Pf 56 km",27,0
110,2023-01-08 14:06:02+00:00,SismologicoMX,"SISMO Magnitud 3.8 Loc. 188 km al SUROESTE de PIJIJIAPAN, CHIS 07/01/23 18:52:24 Lat 14.27 Lon -94.17 Pf 10 km",20,1
111,2023-01-08 14:05:02+00:00,SismologicoMX,"SISMO Magnitud 3.3 Loc. 43 km al SUR de TECOMAN, COL 07/01/23 17:50:00 Lat 18.52 Lon -103.84 Pf 16 km",37,1
112,2023-01-08 13:54:16+00:00,SismologicoMX,A las 08:00 a.m. inicia el envío del reporte matutino de sismicidad que incluye los sismos de magnitud menor a 4.0 actualizado hasta las 05:00 a.m.,51,3
113,2023-01-08 11:05:05+00:00,SismologicoMX,"SISMO Magnitud 4.2 Loc  23 km al OESTE de TECPAN, GRO 08/01/23 04:49:17 Lat 17.27 Lon -100.84 Pf 12 km https://t.co/ILBwYZdKhP",155,21
114,2023-01-08 11:05:02+00:00,SismologicoMX,"SISMO Magnitud 4.2 Loc. 23 km al OESTE de TECPAN, GRO 08/01/23 04:49:17 Lat 17.27 Lon -100.84 Pf 12 km",83,5
115,2023-01-08 10:36:05+00:00,SismologicoMX,"SISMO Magnitud 4.3 Loc  185 km al SUROESTE de PIJIJIAPAN, CHIS 08/01/23 04:21:10 Lat 14.40 Lon -94.31 Pf 17 km https://t.co/jopY4lUn9I",129,20
116,2023-01-08 10:36:02+00:00,SismologicoMX,"SISMO Magnitud 4.3 Loc. 185 km al SUROESTE de PIJIJIAPAN, CHIS 08/01/23 04:21:10 Lat 14.40 Lon -94.31 Pf 17 km",116,8
117,2023-01-08 06:50:05+00:00,SismologicoMX,"SISMO Magnitud 4.0 Loc  20 km al SUROESTE de CINTALAPA, CHIS 08/01/23 00:33:58 Lat 16.59 Lon -93.87 Pf 137 km https://t.co/Ihudh4ggrV",126,12
118,2023-01-08 06:50:02+00:00,SismologicoMX,"SISMO Magnitud 4.0 Loc. 20 km al SUROESTE de CINTALAPA, CHIS 08/01/23 00:33:58 Lat 16.59 Lon -93.87 Pf 137 km",86,2
119,2023-01-08 02:29:05+00:00,SismologicoMX,"SISMO Magnitud 4.3 Loc  20 km al NOROESTE de ARRIAGA , CHIS 07/01/23 20:03:02 Lat 16.29 Lon -94.08 Pf 107 km https://t.co/JZlIm4z9pG",207,38
120,2023-01-08 02:29:01+00:00,SismologicoMX,"SISMO Magnitud 4.3 Loc. 20 km al NOROESTE de ARRIAGA , CHIS 07/01/23 20:03:02 Lat 16.29 Lon -94.08 Pf 107 km",119,14
121,2023-01-08 02:05:13+00:00,SismologicoMX,"SISMO Magnitud 3.6 Loc. 70 km al NOROESTE de CINTALAPA, CHIS 07/01/23 09:30:09 Lat 17.24 Lon -94.05 Pf 168 km",123,18
